pIC50
7.387
6.523
5.107
6.77
7.398
6.357
5.032
3.301
2.523
4.018
5.275
3.578
6.903
2.903
3.204
4.456
3.046
9.347
5.0
4.222
3.222
3.071
5.523
5.097
2.886
2.866
3.783
3.602
2.903
3.903
7.854
2.903
3.204
6.0
7.0
4.875
3.456
4.854
6.623
7.194
2.854
3.367
7.658
4.87
3.602
8.347
7.0
6.294
3.347
6.699
6.678
5.851
5.301
5.365
3.079
4.328
2.921
8.187
7.398
5.688
5.076
2.959
3.252
4.699
2.187
2.903
7.886
6.699
5.125
3.097
4.222
4.432
3.079
7.538
5.301
4.301
3.488
5.222
6.699
7.357
3.347
4.125
8.328
8.745
7.0
3.194
3.648
3.456
7.959
4.26
5.921
3.347
8.553
7.0
6.125
7.745
7.398
6.208
5.495
2.886
3.699
8.921
6.699
5.889
6.699
7.409
6.317
6.097
3.252
3.071
5.602
3.585
6.387
8.229
5.588
7.42
6.475
4.699
7.602
5.62
3.337
4.699
8.959
6.699
5.71
2.824
3.796
6.745
6.347
6.301
7.62
3.426
7.149
4.602
3.638
6.301
2.62
3.815
5.052
4.0
4.0
5.523
4.0
4.248
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
4.536
4.0
4.0
4.0
4.301
8.377
5.642
8.398
6.42
4.0
4.301
8.481
6.712
6.699
6.174
7.523
4.0
4.0
9.092
8.056
8.056
4.301
8.42
6.288
6.071
4.0
7.77
5.187
5.046
4.0
8.824
8.131
8.131
5.886
8.367
4.0
4.0
4.699
4.0
8.824
7.292
5.301
6.602
8.538
5.0
5.347
7.046
9.092
8.509
4.301
6.071
7.886
5.602
9.155
8.569
9.301
8.114
4.301
4.267
4.0
4.0
4.301
9.77
7.886
9.137
7.678
7.678
4.0
5.301
4.0
4.0
4.0
8.569
6.807
4.301
6.481
7.086
6.0
4.699
4.678
5.301
9.119
7.523
8.796
7.357
9.26
8.06
8.824
8.638
5.593
7.131
8.569
7.194
9.215
7.854
7.854
6.824
6.155
9.602
8.292
8.585
7.921
9.161
7.699
8.921
5.983
8.854
8.569
8.523
4.0
4.699
6.0
8.839
6.714
9.367
6.301
6.658
8.509
7.699
7.097
5.0
4.699
5.046
6.523
5.347
4.301
4.0
5.06
4.0
4.0
11.222
7.678
4.0
5.276
4.0
7.029
6.658
7.18
8.638
5.0
5.022
5.301
6.0
5.839
4.0
8.921
7.796
6.721
7.076
8.018
7.495
9.886
7.796
4.0
4.357
5.0
5.602
5.347
4.301
4.0
8.959
7.244
7.244
5.301
6.292
5.983
4.699
5.0
8.041
7.114
5.252
8.367
4.0
4.393
4.652
9.041
8.469
8.757
7.456
8.796
6.921
6.31
4.0
5.854
6.678
9.022
7.658
5.367
4.0
4.0
8.62
6.967
6.967
8.337
6.469
5.125
5.301
5.301
8.959
7.569
9.119
8.62
7.097
6.041
4.0
4.036
4.0
9.432
6.301
6.585
9.108
7.959
4.943
4.0
5.444
4.699
9.252
7.854
7.854
5.06
5.301
7.456
5.004
5.0
5.347
6.319
7.523
4.301
6.155
5.658
4.301
5.699
4.745
4.301
4.301
9.357
7.229
7.229
7.081
4.0
4.301
4.301
4.301
5.357
8.119
7.276
11.097
7.824
4.602
5.119
7.009
3.886
8.432
6.717
9.0
9.0
10.602
8.585
8.013
5.26
4.0
7.131
7.167
8.0
7.276
5.922
8.432
7.796
11.222
7.131
7.569
5.0
3.523
5.0
7.699
7.149
3.721
7.921
6.498
7.678
6.638
7.569
9.432
7.886
8.292
5.75
6.983
7.387
6.839
8.469
8.018
9.143
6.234
6.58
7.959
7.347
7.032
7.102
7.398
6.582
9.357
7.699
9.357
9.357
7.658
9.357
8.125
7.092
9.097
7.658
8.056
7.114
7.62
6.201
3.886
6.461
4.237
6.081
8.796
7.31
8.319
8.018
8.456
6.87
4.658
4.301
4.301
3.229
3.357
5.721
5.155
6.959
6.215
6.824
5.155
5.959
5.328
8.097
6.638
3.602
5.886
7.086
5.796
5.155
5.959
7.149
6.959
6.658
6.268
4.745
5.087
5.257
5.208
7.509
5.444
7.721
4.301
8.0
7.097
6.62
5.886
5.585
5.194
5.131
7.456
6.244
7.0
6.481
6.796
4.87
5.62
5.175
5.456
4.155
6.699
7.367
5.155
4.0
5.337
6.347
5.087
7.77
5.866
6.041
4.903
4.0
6.585
5.9
5.319
4.602
4.72
4.699
4.99
5.9
5.76
5.17
5.68
5.28
6.523
7.0
4.699
4.699
4.699
4.699
6.523
6.699
6.097
5.854
4.699
6.4
5.06
4.699
5.23
6.0
4.699
4.699
4.92
6.21
5.77
4.886
4.699
4.699
4.699
5.3
6.301
6.347
6.05
4.32
4.699
4.699
6.398
7.301
6.0
6.398
6.347
6.523
6.301
6.222
7.0
6.824
7.0
6.699
5.328
4.699
4.699
4.21
6.699
7.0
4.699
4.699
4.699
4.699
4.699
4.699
4.699
4.31
6.15
4.699
5.3
4.27
5.52
7.046
7.097
6.699
6.824
6.523
7.0
4.699
4.699
6.301
4.699
5.35
6.699
6.824
4.699
4.699
4.602
5.1
4.66
6.699
6.699
7.0
7.0
4.96
4.84
7.0
7.046
6.523
6.398
4.699
6.155
3.3
6.301
6.77
7.0
6.824
6.046
5.377
4.699
4.699
4.699
4.699
5.161
5.337
4.699
4.699
4.08
5.47
6.15
4.82
7.125
7.0
5.456
4.699
4.699
5.6
6.398
6.523
5.215
4.699
4.699
4.72
5.131
4.0
4.699
4.699
6.699
7.097
5.161
4.699
4.699
4.699
4.699
4.699
4.699
5.18
4.72
3.78
4.0
4.699
6.347
6.398
4.301
4.699
4.51
4.64
6.523
6.699
6.523
6.699
4.699
5.29
7.0
7.0
7.0
7.155
5.886
4.699
4.6
6.3
4.699
4.699
4.85
4.06
7.0
7.046
4.699
6.19
4.8
4.699
5.155
4.0
4.867
4.0
7.097
5.315
8.268
8.032
4.0
4.0
4.0
4.0
6.018
7.398
8.495
7.444
8.036
8.456
8.268
5.174
4.0
4.0
5.541
8.31
8.921
8.854
6.0
6.102
6.252
8.495
9.041
4.0
8.585
8.149
6.032
7.155
5.174
5.076
4.745
8.699
9.62
4.678
4.986
9.292
9.886
7.796
9.553
8.252
4.481
6.721
9.131
6.0
5.699
6.509
5.268
4.991
6.26
4.0
4.0
6.886
8.398
5.79
6.027
8.131
10.0
5.417
5.578
5.282
6.229
8.319
8.056
8.854
4.0
5.032
5.538
5.081
7.921
4.456
4.276
9.036
6.644
6.824
7.046
5.796
5.79
10.046
7.854
7.854
8.076
4.975
7.347
5.377
6.041
6.187
4.0
5.719
6.092
5.635
5.125
5.569
7.959
8.143
8.0
6.959
8.495
4.0
5.824
6.602
5.64
8.721
8.092
7.796
5.509
9.215
4.943
4.827
4.0
6.102
8.824
4.745
6.481
6.523
4.0
6.244
6.31
8.907
6.269
9.569
7.066
5.553
5.013
6.337
6.102
6.377
8.0
10.602
5.0
5.387
7.959
6.337
4.0
4.0
7.699
11.097
8.921
7.886
7.097
5.469
5.55
7.703
6.481
6.13
6.114
5.0
5.676
6.578
7.91
6.0
6.432
7.155
7.509
6.201
7.328
6.337
7.398
5.602
6.602
9.0
6.135
4.842
7.638
8.398
6.222
6.879
7.097
9.409
7.538
7.456
6.833
6.307
5.37
7.237
7.081
7.959
6.378
8.678
7.009
6.131
4.094
4.879
9.328
6.801
8.745
6.77
8.027
8.569
6.719
9.0
7.377
8.102
7.071
6.301
7.143
7.032
8.959
7.481
6.347
7.319
6.353
11.097
9.357
7.9
4.0
5.0
6.357
6.137
6.565
4.0
5.595
5.0
6.125
6.046
5.0
4.873
6.097
5.0
5.0
6.301
5.0
6.398
5.0
6.081
6.53
5.108
5.0
6.131
5.0
6.509
5.0
5.573
6.357
5.951
6.77
5.0
6.032
5.0
5.815
5.0
6.456
5.658
5.0
5.833
4.018
5.081
