molecule_chembl_id,canonical_smiles,IC50,units,pIC50
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,41.0,nM,7.387
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,300.0,nM,6.523
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,7820.0,nM,5.107
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,170.0,nM,6.77
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,40.0,nM,7.398
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,440.0,nM,6.357
CHEMBL137635,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,9300.0,nM,5.032
CHEMBL306988,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,500000.0,nM,3.301
CHEMBL66879,O=C(O)/C=C/c1ccc(O)cc1,3000000.0,nM,2.523
CHEMBL77085,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],96000.0,nM,4.018
CHEMBL443268,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,5310.0,nM,5.275
CHEMBL76979,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,264000.0,nM,3.578
CHEMBL76589,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,125.0,nM,6.903
CHEMBL77724,COc1cc(C=C(C#N)C#N)cc(OC)c1,1250000.0,nM,2.903
CHEMBL420385,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,625000.0,nM,3.204
CHEMBL76904,N#CC(C#N)=Cc1ccc(O)c(O)c1,35000.0,nM,4.456
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,900000.0,nM,3.046
CHEMBL304271,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,0.45,nM,9.347
CHEMBL296407,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,10000.0,nM,5.0
CHEMBL309625,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,60000.0,nM,4.222
CHEMBL77825,COc1ccc(NN=C(C#N)C#N)cc1,600000.0,nM,3.222
CHEMBL421877,COc1cc(C=C(C#N)C#N)cc(OC)c1O,850000.0,nM,3.071
CHEMBL310798,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,3000.0,nM,5.523
CHEMBL135592,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,8000.0,nM,5.097
CHEMBL309866,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,1300000.0,nM,2.886
CHEMBL77381,N#C/C(=C/c1ccc[nH]1)C(=O)O,1360000.0,nM,2.866
CHEMBL76602,N#C/C(=C\c1ccc(O)cc1)C(=O)O,165000.0,nM,3.783
CHEMBL77737,N#CC(C#N)=Cc1ccncc1,250000.0,nM,3.602
CHEMBL76983,N#CC(C#N)=Cc1ccc(F)cc1,1250000.0,nM,2.903
CHEMBL308134,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,125000.0,nM,3.903
CHEMBL136491,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,14.0,nM,7.854
CHEMBL77280,CC(=C(C#N)C#N)c1ccc(N)cc1,1250000.0,nM,2.903
CHEMBL76557,N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,625000.0,nM,3.204
CHEMBL336113,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,1000.0,nM,6.0
CHEMBL133024,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,100.0,nM,7.0
CHEMBL344652,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,13350.0,nM,4.875
CHEMBL77814,N#CC(C#N)=CNc1ccc(O)cc1,350000.0,nM,3.456
CHEMBL47986,O=CN/C=C/c1cc(O)ccc1O,14000.0,nM,4.854
CHEMBL138125,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,238.0,nM,6.623
CHEMBL137364,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,64.0,nM,7.194
CHEMBL308339,N#CC(C#N)=C1C(=O)NC(=O)NC1=O,1400000.0,nM,2.854
CHEMBL78174,N#CC(C#N)=Cc1ccc(C(=O)O)cc1,430000.0,nM,3.367
CHEMBL302552,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,22.0,nM,7.658
CHEMBL309598,N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,13500.0,nM,4.87
CHEMBL78302,COc1ccc(C=C(C#N)C#N)cc1O,250000.0,nM,3.602
CHEMBL67057,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,4.5,nM,8.347
CHEMBL67057,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,100.0,nM,7.0
CHEMBL332096,Nc1ccc2ncnc(NCc3ccccc3)c2c1,508.0,nM,6.294
CHEMBL77387,N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1,450000.0,nM,3.347
CHEMBL432903,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,200.0,nM,6.699
CHEMBL69964,Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,210.0,nM,6.678
CHEMBL65848,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,1410.0,nM,5.851
CHEMBL65848,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,5000.0,nM,5.301
CHEMBL65848,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,4320.0,nM,5.365
CHEMBL78184,N#C/C(=C\c1ccc(F)cc1)C(=O)O,833000.0,nM,3.079
CHEMBL76985,N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,47000.0,nM,4.328
CHEMBL145,O=C(O)/C=C/c1ccc(O)c(O)c1,1200000.0,nM,2.921
CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.5,nM,8.187
CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,40.0,nM,7.398
CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,2050.0,nM,5.688
CHEMBL136492,CN(c1ccccc1)c1ncnc2ccc(N)cc12,8400.0,nM,5.076
CHEMBL77197,COc1cc(/C(C)=C(\C#N)C(=O)O)ccc1O,1100000.0,nM,2.959
CHEMBL305695,N#CC(C#N)=Cc1ccc(O)cc1,560000.0,nM,3.252
CHEMBL68258,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(N3CCCCC3)c21,20000.0,nM,4.699
CHEMBL76587,N#CC(C#N)Cc1ccc(O)cc1,6500000.0,nM,2.187
CHEMBL77456,COc1ccc(C=C(C#N)C#N)cc1,1250000.0,nM,2.903
CHEMBL66570,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,13.0,nM,7.886
CHEMBL66570,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,200.0,nM,6.699
CHEMBL66570,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,7500.0,nM,5.125
CHEMBL308048,N#C/C(=C\c1ccc(O)cc1)C(N)=O,800000.0,nM,3.097
CHEMBL311119,N#CC(C#N)=Cc1ccc(C=O)cc1,60000.0,nM,4.222
CHEMBL76905,N#CC(C#N)=Cc1cc(O)cc(O)c1,37000.0,nM,4.432
CHEMBL77524,COc1ccc(/C=C(\C#N)C(=O)O)cc1,833000.0,nM,3.079
CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,29.0,nM,7.538
CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,5000.0,nM,5.301
CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,50000.0,nM,4.301
CHEMBL307250,COc1cc(/C=C(\C#N)C(=O)O)ccc1O,325000.0,nM,3.488
CHEMBL80155,COc1cc(C=C(C#N)C#N)cc(O)c1O,6000.0,nM,5.222
CHEMBL343352,Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,200.0,nM,6.699
CHEMBL52765,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,44.0,nM,7.357
CHEMBL311564,COc1ccc(C(O)=C(C#N)C#N)cc1,450000.0,nM,3.347
CHEMBL76642,N#C/C(=C/c1cc(O)ccc1O)C(=O)O,75000.0,nM,4.125
CHEMBL308645,Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,4.7,nM,8.328
CHEMBL67003,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,1.8,nM,8.745
