MolWt,LogP,NumHDonors,NumHAcceptors,pIC50
411.25900000000007,4.2196000000000025,2,5,5.983
405.2770000000001,4.0211000000000015,2,5,8.854
405.2770000000001,4.0211000000000015,2,5,8.569
346.398,2.84952,3,7,8.523
590.774,8.590840000000002,2,6,4.0
257.245,2.5465999999999998,3,4,4.699
270.24,2.576800000000001,3,5,6.0
512.412,3.117800000000001,2,7,8.839
512.412,3.117800000000001,2,7,6.714
391.25000000000006,3.448100000000002,1,6,9.367
391.25000000000006,3.448100000000002,1,6,6.301
427.2910000000001,5.054500000000003,1,6,6.658
330.1890000000001,3.5726000000000013,2,5,8.509
330.1890000000001,3.5726000000000013,2,5,7.699
509.96900000000045,4.868180000000005,2,7,7.097
287.271,2.3406000000000007,3,6,5.0
259.26099999999997,2.4081,4,4,4.699
289.28700000000003,2.2021,4,6,5.046
329.35900000000004,4.057400000000001,3,4,6.523
329.35900000000004,4.057400000000001,3,4,5.347
389.4110000000001,4.074600000000001,3,6,4.301
389.4110000000001,4.074600000000001,3,6,4.0
343.3860000000001,4.081700000000002,2,4,5.06
343.3860000000001,4.081700000000002,2,4,4.0
376.41200000000015,4.747000000000003,2,6,4.0
344.216,3.5969000000000015,1,5,11.222
344.216,3.5969000000000015,1,5,7.678
590.7740000000001,8.590840000000002,2,6,4.0
678.792,7.824600000000006,2,10,5.276
404.5600000000002,6.371100000000004,1,4,4.0
409.2650000000001,2.2969,2,7,7.029
455.3010000000002,4.673000000000004,2,6,6.658
427.2910000000001,5.054500000000003,1,6,7.18
425.2940000000002,3.6246,2,8,8.638
271.272,2.635000000000001,2,5,5.0
303.3140000000001,2.5051000000000005,3,6,5.022
448.3540000000004,3.4365000000000014,1,7,5.301
435.3110000000003,4.359200000000002,2,6,6.0
393.4430000000002,3.405100000000002,1,7,5.839
283.35600000000005,2.581100000000001,1,3,4.0
383.249,4.650500000000003,2,4,8.921
383.249,4.650500000000003,2,4,7.796
441.27400000000017,4.744100000000002,2,6,6.721
343.228,4.201900000000003,1,4,7.076
344.216,3.5969000000000015,1,5,8.018
344.216,3.5969000000000015,1,5,7.495
316.16200000000003,3.113100000000001,2,5,9.886
316.16200000000003,3.113100000000001,2,5,7.796
622.772,7.9912000000000045,2,8,4.0
594.7180000000003,7.3852000000000055,4,8,4.357
289.28700000000003,2.2021,4,6,5.0
357.4130000000001,4.674240000000003,3,4,5.602
357.4130000000001,4.674240000000003,3,4,5.347
481.5550000000002,7.391400000000005,3,4,4.301
481.5550000000002,7.391400000000005,3,4,4.0
498.3850000000001,3.0935000000000006,3,7,8.959
498.3850000000001,3.0935000000000006,3,7,7.244
498.3850000000001,3.0935000000000006,3,7,7.244
365.22000000000014,2.7065000000000006,2,6,5.301
398.2530000000001,4.440900000000003,1,6,6.292
470.9320000000004,4.752280000000004,1,7,5.983
678.792,7.824600000000006,2,10,4.699
273.28800000000007,2.4965000000000006,3,5,5.0
446.3080000000001,5.182800000000003,2,5,8.041
446.3080000000001,5.182800000000003,2,5,7.114
321.1670000000001,2.8845,1,5,5.252
331.17300000000006,3.539500000000002,1,5,8.367
598.7000000000003,8.252200000000002,2,6,4.0
594.7180000000003,7.3852000000000055,4,8,4.393
564.6960000000003,6.764000000000005,2,8,4.652
370.21000000000004,3.655400000000002,2,5,9.041
370.21000000000004,3.655400000000002,2,5,8.469
437.21900000000016,5.192900000000002,2,4,8.757
437.21900000000016,5.192900000000002,2,4,7.456
381.23300000000006,4.415500000000002,2,4,8.796
381.23300000000006,4.415500000000002,2,4,6.921
412.2800000000001,4.923800000000003,1,6,6.31
631.6100000000001,9.280799999999996,2,6,4.0
434.37100000000015,4.446100000000003,1,6,5.854
475.42400000000026,3.7418000000000013,1,7,6.678
345.20400000000006,2.9919000000000002,1,6,9.022
345.20400000000006,2.9919000000000002,1,6,7.658
631.6100000000001,9.280799999999996,2,6,5.367
698.7140000000003,10.011599999999993,2,6,4.0
379.3790000000001,3.800760000000002,3,6,4.0
498.38100000000014,4.125500000000002,2,7,8.62
498.38100000000014,4.125500000000002,2,7,6.967
498.38100000000014,4.125500000000002,2,7,6.967
375.25100000000003,3.782000000000002,1,5,8.337
375.25100000000003,3.782000000000002,1,5,6.469
335.1940000000001,3.344000000000001,1,5,5.125
412.28000000000014,4.309400000000003,1,6,5.301
431.71000000000015,5.699300000000003,1,5,5.301
396.24800000000005,4.2116000000000025,2,5,8.959
396.24800000000005,4.2116000000000025,2,5,7.569
406.2650000000001,3.416100000000001,2,6,9.119
406.2650000000001,3.416100000000001,2,6,8.62
483.3550000000003,5.453200000000004,2,6,7.097
398.2530000000001,4.440900000000003,1,6,6.041
390.53300000000013,6.230000000000004,1,4,4.0
275.26000000000005,2.1137,5,5,4.036
355.3970000000001,3.860000000000003,1,4,4.0
413.2310000000001,3.715200000000001,3,5,9.432
413.2310000000001,3.715200000000001,3,5,6.301
397.2650000000001,5.045900000000003,1,5,6.585
315.17400000000004,3.7181000000000015,2,4,9.108
329.2010000000001,4.177600000000002,2,4,7.959
720.5120000000002,9.498999999999995,2,6,4.943
622.772,7.9912000000000045,2,8,4.0
622.772,7.991200000000006,2,8,5.444
259.261,2.4081000000000006,4,4,4.699
521.3790000000002,3.428600000000001,3,8,9.252
521.3790000000002,3.428600000000001,3,8,7.854
521.3790000000002,3.428600000000001,3,8,7.854
461.3970000000002,3.351700000000001,1,7,5.06
426.3070000000002,4.351900000000003,1,6,5.301
388.2730000000001,2.8994,2,7,7.456
678.7919999999999,7.824600000000006,2,10,5.004
271.272,2.635000000000001,2,5,5.0
349.22100000000006,3.7341000000000015,1,5,5.347
411.2920000000002,5.354320000000003,1,5,6.319
330.18500000000006,4.1445000000000025,1,4,7.523
469.32800000000015,5.2226000000000035,1,7,4.301
365.33900000000006,4.335600000000002,3,4,6.155
365.33900000000006,4.335600000000002,3,4,5.658
581.1510000000001,5.266600000000002,3,4,4.301
359.3850000000001,4.066000000000002,3,5,5.699
359.3850000000001,4.066000000000002,3,5,4.745
371.3960000000001,3.998400000000002,2,4,4.301
371.3960000000001,3.998400000000002,2,4,4.301
497.3970000000001,3.698500000000001,3,6,9.357
497.3970000000001,3.698500000000001,3,6,7.229
497.3970000000001,3.698500000000001,3,6,7.229
467.9320000000002,5.097580000000004,2,6,7.081
631.6100000000001,9.280799999999996,2,6,4.0
471.60500000000025,5.749800000000005,3,6,4.301
343.38600000000014,4.399600000000002,2,4,4.301
343.38600000000014,4.399600000000002,2,4,4.301
377.27500000000015,4.514300000000003,1,5,5.357
316.16200000000003,3.113100000000001,2,5,8.119
316.16200000000003,3.113100000000001,2,5,7.276
330.189,3.572600000000002,2,5,11.097
330.189,3.572600000000002,2,5,7.824
490.65100000000024,3.3449000000000018,4,9,4.602
401.8460000000001,3.3046000000000015,3,6,5.119
343.386,4.658000000000003,2,5,7.009
275.285,2.7857000000000003,4,6,3.886
453.34400000000034,3.817800000000002,1,7,8.432
453.34400000000034,3.817800000000002,1,7,6.717
393.4430000000002,3.405100000000002,1,7,9.0
446.9100000000004,4.275600000000003,1,7,9.0
360.2110000000001,4.153100000000003,1,5,10.602
396.2920000000001,4.6788000000000025,2,4,8.585
396.2920000000001,4.6788000000000025,2,4,8.013
299.17100000000005,4.740900000000003,1,2,5.26
299.17100000000005,4.740900000000003,1,2,4.0
520.6550000000002,4.745600000000003,2,8,7.131
357.41300000000007,4.961000000000003,1,5,7.167
581.0690000000002,6.139100000000005,2,8,8.0
398.2200000000001,3.5702000000000016,2,6,7.276
398.2200000000001,3.5702000000000016,2,6,5.922
452.35600000000034,4.422800000000003,1,6,8.432
452.35600000000034,4.422800000000003,1,6,7.796
388.26500000000016,4.933300000000004,1,5,11.222
510.5160000000002,5.789900000000005,2,6,7.131
300.15900000000005,4.135900000000001,1,3,7.569
330.185,4.144500000000002,1,4,5.0
259.286,3.0801,3,5,3.523
314.186,4.444320000000002,1,3,5.0
466.96600000000007,3.959100000000002,2,7,7.699
466.96600000000007,3.959100000000002,2,7,7.149
302.23800000000006,1.988,5,7,3.721
414.26300000000015,2.8388,3,7,7.921
414.26300000000015,2.8388,3,7,6.498
424.3460000000001,5.042300000000004,1,5,7.678
424.3460000000001,5.042300000000004,1,5,6.638
573.0900000000001,5.5381000000000045,2,8,7.569
354.21100000000007,4.022600000000002,1,5,9.432
354.21100000000007,4.022600000000002,1,5,7.886
397.2320000000001,4.175200000000002,2,5,8.292
397.2320000000001,4.175200000000002,2,5,5.75
506.6280000000002,4.355500000000003,2,8,6.983
410.3190000000001,4.652200000000003,1,5,7.387
410.3190000000001,4.652200000000003,1,5,6.839
454.32800000000015,4.222000000000002,2,6,8.469
454.32800000000015,4.222000000000002,2,6,8.018
440.3010000000001,4.133600000000002,3,5,9.143
440.3010000000001,4.133600000000002,3,5,6.234
616.6620000000004,5.546900000000005,1,8,6.58
438.5530000000002,3.1479000000000017,2,7,7.959
438.5530000000002,3.1479000000000017,2,7,7.347
554.6940000000002,3.9994000000000023,2,9,7.032
383.4510000000001,5.517200000000004,1,5,7.102
411.30700000000013,4.047200000000002,1,6,7.398
411.30700000000013,4.047200000000002,1,6,6.582
340.184,4.012200000000001,2,4,9.357
340.184,4.012200000000001,2,4,7.699
340.184,4.012200000000001,2,4,9.357
339.196,4.617200000000001,2,3,9.357
339.196,4.617200000000001,2,3,7.658
339.196,4.617200000000001,2,3,9.357
453.38800000000015,4.6106000000000025,2,5,8.125
453.38800000000015,4.6106000000000025,2,5,7.092
353.22300000000007,4.627600000000002,1,4,9.097
353.22300000000007,4.627600000000002,1,4,7.658
467.3710000000004,4.207900000000002,1,7,8.056
467.3710000000004,4.207900000000002,1,7,7.114
562.6710000000002,4.703700000000003,2,9,7.62
562.6710000000002,4.703700000000003,2,9,6.201
243.28700000000003,3.3745000000000003,2,4,3.886
221.26300000000003,3.373400000000001,1,3,6.461
230.22300000000004,3.2188000000000008,3,5,4.237
520.6550000000003,4.697700000000004,1,8,6.081
413.2750000000001,3.4438000000000013,3,6,8.796
413.2750000000001,3.4438000000000013,3,6,7.31
438.3290000000003,4.4494000000000025,2,5,8.319
438.3290000000003,4.4494000000000025,2,5,8.018
456.3440000000001,3.4038000000000004,4,6,8.456
456.3440000000001,3.4038000000000004,4,6,6.87
401.8460000000001,3.3046000000000015,3,6,4.658
417.84500000000014,3.4299000000000017,3,7,4.301
433.9130000000001,3.788800000000001,3,7,4.301
424.4490000000002,3.5869000000000018,3,7,3.229
298.35,1.3795999999999995,3,7,3.357
570.6490000000002,5.906800000000007,1,6,5.721
605.0940000000002,6.560200000000006,1,6,5.155
614.658,5.605000000000006,2,7,6.959
364.4530000000001,3.8108400000000016,3,5,6.215
545.519,4.968000000000003,3,7,6.824
532.7370000000003,4.894880000000003,3,7,5.155
544.6330000000002,4.0260000000000025,1,7,5.959
605.0940000000002,6.560200000000006,1,6,5.328
566.1080000000003,6.185800000000005,2,9,8.097
566.1080000000003,6.185800000000005,2,9,6.638
238.179,2.008399999999999,3,2,3.602
538.6040000000003,4.239400000000003,1,8,5.886
531.6630000000002,5.532400000000004,2,9,7.086
531.6630000000002,5.532400000000004,2,9,5.796
220.253,1.2908799999999998,3,4,5.155
519.6050000000002,4.9800800000000045,1,7,5.959
555.6890000000003,5.351400000000004,2,10,7.149
555.6890000000003,5.351400000000004,2,10,6.959
523.5930000000002,3.551700000000003,2,7,6.658
599.6600000000002,6.551200000000005,2,9,6.268
599.6600000000002,6.551200000000005,2,9,4.745
571.6370000000002,5.301800000000005,1,7,5.087
336.39900000000006,3.194000000000001,3,5,5.257
518.4930000000002,6.062400000000005,3,6,5.208
524.5770000000002,4.1510000000000025,2,7,7.509
600.6750000000002,5.915400000000006,1,7,5.444
495.6030000000003,4.840800000000004,1,5,7.721
396.45100000000014,3.2112000000000016,3,7,4.301
584.0980000000002,6.324900000000005,2,9,8.0
584.0980000000002,6.324900000000005,2,9,7.097
532.5200000000002,6.452500000000005,3,6,6.62
566.7020000000002,5.617500000000005,2,7,5.886
508.5780000000003,4.612900000000003,1,6,5.585
562.5480000000001,5.155300000000005,1,6,5.194
628.6850000000001,5.693400000000006,1,8,5.131
477.9740000000001,4.7459000000000024,2,8,7.456
477.9740000000001,4.7459000000000024,2,8,6.244
466.5410000000003,4.354000000000003,2,6,7.0
494.5950000000003,5.086300000000004,1,6,6.481
566.6140000000001,4.457800000000002,2,7,6.796
566.6580000000001,6.001500000000006,1,7,4.87
524.5770000000002,4.832800000000003,1,7,5.62
392.5070000000002,4.427680000000001,3,5,5.175
623.71,5.117700000000004,2,8,5.456
660.6430000000001,5.7232000000000065,1,10,4.155
480.5240000000003,3.994200000000002,2,7,6.699
509.6300000000003,5.2309000000000045,1,5,7.367
294.31,2.32118,3,4,5.155
642.7120000000003,5.792200000000006,0,8,4.0
605.0940000000002,6.560200000000006,1,6,5.337
405.2890000000001,4.500800000000003,3,5,6.347
572.6250000000002,4.696800000000004,1,8,5.087
482.54000000000025,3.844900000000002,3,7,7.77
377.235,3.7222000000000017,3,5,5.866
556.6660000000002,6.2666000000000075,1,6,6.041
539.6610000000003,4.570700000000003,2,6,4.903
660.7740000000001,7.81940000000001,0,6,4.0
482.54000000000025,3.844900000000002,3,7,6.585
504.46600000000024,5.673900000000004,3,6,5.9
615.6460000000001,5.815000000000007,1,8,5.319
266.3,3.314000000000002,0,4,4.602
307.34900000000005,3.812940000000003,2,4,4.72
309.36500000000007,4.2360200000000034,0,4,4.699
308.33700000000005,3.260320000000002,3,4,4.99
280.283,2.6434800000000003,3,4,5.9
354.43100000000004,3.393800000000003,2,5,5.76
322.389,4.123660000000004,1,5,5.17
314.72800000000007,3.2968800000000007,3,4,5.68
381.41300000000007,3.2265800000000016,2,7,5.28
453.3450000000003,4.974700000000005,2,6,6.523
453.3450000000003,4.974700000000005,2,6,7.0
205.21299999999997,1.9575999999999996,1,4,4.699
315.3720000000001,5.072200000000004,0,3,4.699
295.338,3.9276000000000026,0,4,4.699
355.39000000000004,3.9448000000000025,0,6,4.699
453.90500000000026,5.084700000000005,1,7,6.523
453.90500000000026,5.084700000000005,1,7,6.699
433.48700000000036,4.423580000000003,1,7,6.097
433.48700000000036,4.423580000000003,1,7,5.854
189.21399999999997,2.252,0,3,4.699
340.404,3.085380000000002,2,5,6.4
349.43700000000007,2.1290800000000005,2,7,5.06
229.27900000000002,4.102400000000002,0,2,4.699
286.3310000000001,2.4536800000000003,3,4,5.23
388.8760000000001,3.879880000000003,2,5,6.0
271.34100000000007,3.980500000000003,0,4,4.699
241.31500000000003,3.9719000000000024,0,3,4.699
306.32099999999997,2.594080000000001,2,4,4.92
308.337,2.3636799999999996,3,4,6.21
390.46400000000006,4.238580000000003,2,5,5.77
504.3100000000001,0.6426000000000013,4,2,4.886
325.3640000000001,3.936200000000003,0,5,4.699
281.31100000000004,3.6246000000000027,1,4,4.699
323.39200000000005,4.0458000000000025,0,4,4.699
336.391,3.143880000000001,3,4,5.3
396.4660000000003,4.207920000000003,2,6,6.301
396.4660000000003,4.207920000000003,2,6,6.347
354.43100000000004,3.2264800000000027,2,5,6.05
336.3690000000001,1.7499799999999999,3,6,4.32
255.29799999999997,3.692000000000001,0,4,4.699
305.78600000000006,4.633900000000002,0,4,4.699
459.2790000000002,3.954100000000003,1,8,6.398
459.2790000000002,3.954100000000003,1,8,7.301
410.49300000000034,4.550120000000004,1,6,6.0
410.49300000000034,4.550120000000004,1,6,6.398
448.9010000000003,5.034200000000005,1,6,6.347
448.9010000000003,5.034200000000005,1,6,6.523
434.87400000000025,4.692000000000004,2,6,6.301
434.87400000000025,4.692000000000004,2,6,6.222
430.91100000000034,4.895100000000005,1,6,7.0
